Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
22.02.2022 00:00:00;Oberösterreich;4;1495608;5595;475156;32619;2180,986;3;2483;5304;426599
22.02.2022 00:00:00;Salzburg;5;560710;2648;200223;11778;2100,551;2;847;1646;183837
22.02.2022 00:00:00;Steiermark;6;1247077;4271;312916;25643;2056,248;5;2614;3386;277733
22.02.2022 00:00:00;Tirol;7;760105;2837;261992;17955;2362,174;3;883;2795;239542
22.02.2022 00:00:00;Vorarlberg;8;399237;1518;125636;8866;2220,736;1;485;1574;112787
22.02.2022 00:00:00;Wien;9;1920949;7472;537357;38405;1999,272;1;3023;7041;450454
22.02.2022 00:00:00;Österreich;10;8932664;35487;2568296;190302;2130,406;26;14160;29834;2270591
23.02.2022 00:00:00;Burgenland;1;296010;1012;66980;5848;1975,609;1;427;832;58639
23.02.2022 00:00:00;Kärnten;2;562089;1853;161129;11613;2066,043;1;1167;1861;145029
23.02.2022 00:00:00;Niederösterreich;3;1690879;5700;435472;37616;2224,642;1;2234;5165;383829
23.02.2022 00:00:00;Oberösterreich;4;1495608;4859;480015;31049;2076,012;4;2487;5371;431970
23.02.2022 00:00:00;Salzburg;5;560710;2064;202287;12107;2159,227;0;847;1463;185300
23.02.2022 00:00:00;Steiermark;6;1247077;3751;316667;25024;2006,612;7;2621;3972;281705
23.02.2022 00:00:00;Tirol;7;760105;2759;264751;17996;2367,568;1;884;2265;241807
23.02.2022 00:00:00;Vorarlberg;8;399237;1598;127234;9157;2293,625;2;487;1465;114252
23.02.2022 00:00:00;Wien;9;1920949;5123;542480;37615;1958,147;6;3029;6473;456927
23.02.2022 00:00:00;Österreich;10;8932664;28719;2597015;188025;2104,915;23;14183;28867;2299458
24.02.2022 00:00:00;Burgenland;1;296010;1007;67987;6263;2115,807;0;427;779;59418
24.02.2022 00:00:00;Kärnten;2;562089;1724;162853;11360;2021,032;2;1169;1935;146964
24.02.2022 00:00:00;Niederösterreich;3;1690879;6370;441842;37982;2246,287;3;2237;5070;388899
24.02.2022 00:00:00;Oberösterreich;4;1495608;5204;485219;31030;2074,741;7;2494;5195;437165
24.02.2022 00:00:00;Salzburg;5;560710;1875;204162;12192;2174,386;0;847;1535;186835
24.02.2022 00:00:00;Steiermark;6;1247077;3948;320615;24539;1967,721;3;2624;4168;285873
24.02.2022 00:00:00;Tirol;7;760105;2489;267240;17802;2342,045;2;886;2519;244326
24.02.2022 00:00:00;Vorarlberg;8;399237;1338;128572;9266;2320,927;1;488;1480;115732
24.02.2022 00:00:00;Wien;9;1920949;6107;548587;36937;1922,852;8;3037;5854;462781
24.02.2022 00:00:00;Österreich;10;8932664;30062;2627077;187371;2097,594;26;14209;28535;2327993
25.02.2022 00:00:00;Burgenland;1;296010;749;68736;6284;2122,901;2;429;743;60161
25.02.2022 00:00:00;Kärnten;2;562089;1523;164376;11409;2029,75;4;1173;2019;148983
25.02.2022 00:00:00;Niederösterreich;3;1690879;4870;446712;37772;2233,868;6;2243;6294;395193
25.02.2022 00:00:00;Oberösterreich;4;1495608;4430;489649;31289;2092,059;5;2499;6057;443222
25.02.2022 00:00:00;Salzburg;5;560710;1856;206018;12340;2200,781;1;848;1920;188755
25.02.2022 00:00:00;Steiermark;6;1247077;3493;324108;24053;1928,75;7;2631;4192;290065
25.02.2022 00:00:00;Tirol;7;760105;2649;269889;18168;2390,196;0;886;2550;246876
25.02.2022 00:00:00;Vorarlberg;8;399237;1366;129938;9399;2354,241;2;490;1429;117161
25.02.2022 00:00:00;Wien;9;1920949;4395;552982;36089;1878,707;7;3044;6130;468911
25.02.2022 00:00:00;Österreich;10;8932664;25331;2652408;186803;2091,235;34;14243;31334;2359327
26.02.2022 00:00:00;Burgenland;1;296010;585;69321;6154;2078,984;0;429;642;60803
26.02.2022 00:00:00;Kärnten;2;562089;1142;165518;11221;1996,303;3;1176;1526;150509
26.02.2022 00:00:00;Niederösterreich;3;1690879;4793;451505;38371;2269,293;7;2250;4870;400063
26.02.2022 00:00:00;Oberösterreich;4;1495608;4344;493993;31450;2102,824;1;2500;4712;447934
26.02.2022 00:00:00;Salzburg;5;560710;1010;207028;12082;2154,768;3;851;1688;190443
26.02.2022 00:00:00;Steiermark;6;1247077;3177;327285;24108;1933,161;6;2637;3625;293690
26.02.2022 00:00:00;Tirol;7;760105;2086;271975;18222;2397,3;0;886;2251;249127
26.02.2022 00:00:00;Vorarlberg;8;399237;1109;131047;9437;2363,759;0;490;1266;118427
26.02.2022 00:00:00;Wien;9;1920949;4000;556982;36108;1879,696;6;3050;5177;474088
26.02.2022 00:00:00;Österreich;10;8932664;22246;2674654;187153;2095,153;26;14269;25757;2385084
27.02.2022 00:00:00;Burgenland;1;296010;850;70171;6117;2066,484;1;430;850;61653
27.02.2022 00:00:00;Kärnten;2;562089;1098;166616;11057;1967,126;3;1179;1746;152255
27.02.2022 00:00:00;Niederösterreich;3;1690879;4650;456155;38603;2283,014;1;2251;5582;405645
27.02.2022 00:00:00;Oberösterreich;4;1495608;3965;497958;31803;2126,426;4;2504;4692;452626
27.02.2022 00:00:00;Salzburg;5;560710;1261;208289;12046;2148,348;5;856;1781;192224
27.02.2022 00:00:00;Steiermark;6;1247077;2619;329904;24297;1948,316;4;2641;3098;296788
27.02.2022 00:00:00;Tirol;7;760105;1843;273818;18160;2389,144;1;887;2816;251943
27.02.2022 00:00:00;Vorarlberg;8;399237;966;132013;9273;2322,68;3;493;1153;119580
27.02.2022 00:00:00;Wien;9;1920949;4098;561080;35674;1857,103;5;3055;5720;479808
27.02.2022 00:00:00;Österreich;10;8932664;21350;2696004;187030;2093,776;27;14296;27438;2412522
